Test,tenure,Monthly Charges,Total Charges Residues,Total Charges
2D GAN,31.93,103.72,,
2D GAN,1.24,123.25,,
2D GAN,1.20,81.45,,
2D GAN,1.41,56.03,,
2D GAN,44.41,120.56,,
2D GAN,48.92,119.06,,
2D GAN,10.46,60.47,,
2D GAN,12.86,95.48,,
2D GAN,10.09,70.91,,
2D GAN,14.94,71.32,,
2D GAN,17.56,61.11,,
2D GAN,19.57,54.51,,
2D GAN,38.12,70.39,,
2D GAN,24.66,78.45,,
2D GAN,52.74,94.79,,
2D GAN,2.63,47.64,,
2D GAN,28.10,52.83,,
2D GAN,37.77,37.36,,
2D GAN,0.77,49.27,,
2D GAN,1.09,72.30,,
2D GAN,2.71,35.99,,
2D GAN,15.33,39.16,,
2D GAN,23.03,141.25,,
2D GAN,20.06,81.94,,
2D GAN,27.52,92.50,,
2D GAN,13.12,82.41,,
2D GAN,30.87,109.63,,
2D GAN,1.38,41.74,,
2D GAN,3.07,38.73,,
2D GAN,24.54,93.84,,
2D GAN,114.69,143.57,,
2D GAN,6.29,119.90,,
2D GAN,4.88,41.18,,
2D GAN,44.27,96.70,,
2D GAN,26.36,80.64,,
2D GAN,29.80,48.03,,
2D GAN,15.58,75.18,,
2D GAN,1.05,66.05,,
2D GAN,59.52,134.38,,
2D GAN,1.75,112.95,,
2D GAN,1.63,49.86,,
2D GAN,68.90,170.25,,
2D GAN,8.79,57.53,,
2D GAN,3.94,38.06,,
2D GAN,22.97,91.88,,
2D GAN,2.98,73.38,,
2D GAN,16.33,57.27,,
2D GAN,33.01,84.41,,
2D GAN,26.11,93.80,,
2D GAN,42.45,99.27,,
2D GAN,14.71,58.05,,
2D GAN,2.50,39.43,,
2D GAN,36.78,60.21,,
2D GAN,21.97,78.41,,
2D GAN,3.18,60.96,,
2D GAN,3.89,66.96,,
2D GAN,24.90,107.47,,
2D GAN,36.61,55.66,,
2D GAN,2.16,140.09,,
2D GAN,8.10,83.93,,
2D GAN,79.98,116.59,,
2D GAN,1.29,85.12,,
2D GAN,9.25,64.72,,
2D GAN,2.26,60.96,,
2D GAN,43.07,106.47,,
2D GAN,22.65,57.44,,
2D GAN,43.18,93.24,,
2D GAN,6.07,43.64,,
2D GAN,7.25,50.24,,
2D GAN,23.32,78.08,,
2D GAN,8.06,94.53,,
2D GAN,4.93,79.62,,
2D GAN,5.22,59.57,,
2D GAN,44.87,129.86,,
2D GAN,1.15,116.24,,
2D GAN,7.78,72.38,,
2D GAN,3.94,32.87,,
2D GAN,5.76,84.37,,
2D GAN,15.96,50.36,,
2D GAN,0.95,57.93,,
2D GAN,25.49,66.42,,
2D GAN,25.89,39.00,,
2D GAN,9.17,99.44,,
2D GAN,0.81,33.68,,
2D GAN,44.26,74.58,,
2D GAN,1.27,77.01,,
2D GAN,37.54,75.85,,
2D GAN,1.21,71.69,,
2D GAN,15.92,53.26,,
2D GAN,35.17,82.45,,
2D GAN,14.94,69.43,,
2D GAN,8.59,94.28,,
2D GAN,0.73,46.48,,
2D GAN,4.95,87.75,,
2D GAN,14.20,51.74,,
2D GAN,1.31,74.36,,
2D GAN,27.29,88.02,,
2D GAN,1.29,81.61,,
2D GAN,46.88,146.20,,
2D GAN,4.49,84.40,,
2D GAN,1.56,63.08,,
2D GAN,21.88,58.43,,
2D GAN,7.32,71.31,,
2D GAN,5.13,76.68,,
2D GAN,52.46,82.23,,
2D GAN,1.21,73.63,,
2D GAN,6.08,76.85,,
2D GAN,23.80,73.59,,
2D GAN,14.31,67.35,,
2D GAN,0.84,53.98,,
2D GAN,10.87,73.19,,
2D GAN,5.16,86.67,,
2D GAN,8.29,25.16,,
2D GAN,3.79,47.69,,
2D GAN,26.76,92.71,,
2D GAN,11.58,56.42,,
2D GAN,3.73,83.75,,
2D GAN,63.29,115.68,,
2D GAN,3.51,53.37,,
2D GAN,81.43,129.33,,
2D GAN,83.67,178.66,,
2D GAN,28.01,78.76,,
2D GAN,2.93,56.87,,
2D GAN,3.94,103.56,,
2D GAN,6.59,60.06,,
2D GAN,25.54,62.52,,
2D GAN,12.03,81.50,,
2D GAN,8.20,72.65,,
2D GAN,17.31,62.56,,
2D GAN,35.06,101.85,,
2D GAN,20.31,57.83,,
2D GAN,28.48,99.57,,
2D GAN,44.63,80.31,,
2D GAN,0.82,44.51,,
2D GAN,2.75,134.48,,
2D GAN,0.74,48.97,,
2D GAN,2.41,66.85,,
2D GAN,14.20,80.78,,
2D GAN,36.94,68.29,,
2D GAN,7.50,80.66,,
2D GAN,3.43,79.96,,
2D GAN,58.28,154.19,,
2D GAN,0.98,67.46,,
2D GAN,0.76,65.36,,
2D GAN,39.84,89.00,,
2D GAN,1.60,49.88,,
2D GAN,3.24,64.91,,
2D GAN,0.79,58.91,,
2D GAN,2.78,80.07,,
2D GAN,0.87,77.53,,
2D GAN,1.01,65.82,,
2D GAN,2.05,91.93,,
2D GAN,8.62,46.64,,
2D GAN,3.98,30.23,,
2D GAN,5.86,59.07,,
2D GAN,3.46,72.48,,
2D GAN,5.16,94.78,,
2D GAN,12.50,27.11,,
2D GAN,9.36,74.96,,
2D GAN,1.71,68.00,,
2D GAN,16.82,72.11,,
2D GAN,13.90,49.83,,
2D GAN,37.28,56.62,,
2D GAN,3.00,57.20,,
2D GAN,11.07,88.90,,
2D GAN,41.76,64.01,,
2D GAN,1.21,73.20,,
2D GAN,23.59,40.40,,
2D GAN,71.38,197.47,,
2D GAN,50.82,78.08,,
2D GAN,1.63,84.58,,
2D GAN,19.48,61.51,,
2D GAN,0.54,39.19,,
2D GAN,1.96,43.47,,
2D GAN,5.33,81.24,,
2D GAN,0.88,44.51,,
2D GAN,3.46,54.66,,
2D GAN,8.31,76.84,,
2D GAN,0.69,48.76,,
2D GAN,1.12,80.55,,
2D GAN,10.90,74.10,,
2D GAN,37.93,100.98,,
2D GAN,20.87,107.89,,
2D GAN,10.41,67.69,,
2D GAN,34.42,144.23,,
2D GAN,4.10,60.77,,
2D GAN,67.91,108.70,,
2D GAN,40.14,104.19,,
2D GAN,3.69,42.39,,
2D GAN,3.68,30.51,,
2D GAN,9.30,70.29,,
2D GAN,1.97,59.75,,
2D GAN,0.86,57.60,,
2D GAN,21.00,117.41,,
2D GAN,1.91,36.90,,
2D GAN,13.48,62.92,,
2D GAN,18.46,52.10,,
2D GAN,0.76,58.57,,
2D GAN,1.28,71.01,,
2D GAN,14.19,126.65,,
2D GAN,2.87,77.30,,
2D GAN,1.86,48.77,,
2D GAN,3.89,73.54,,
2D GAN,17.04,68.78,,
2D GAN,20.88,23.56,,
2D GAN,1.27,81.32,,
2D GAN,1.42,105.62,,
2D GAN,1.32,84.44,,
2D GAN,17.10,55.52,,
2D GAN,13.22,59.18,,
2D GAN,35.79,57.31,,
2D GAN,11.27,72.50,,
2D GAN,52.33,107.64,,
2D GAN,1.34,95.81,,
2D GAN,9.95,62.41,,
2D GAN,41.79,50.85,,
2D GAN,18.04,66.03,,
2D GAN,22.87,91.47,,
2D GAN,0.91,49.60,,
2D GAN,46.23,60.23,,
2D GAN,1.34,88.34,,
2D GAN,47.28,40.12,,
2D GAN,19.95,104.59,,
2D GAN,0.83,57.34,,
2D GAN,31.00,41.40,,
2D GAN,27.38,84.70,,
2D GAN,50.82,72.12,,
2D GAN,43.50,78.92,,
2D GAN,3.70,85.26,,
2D GAN,22.37,43.61,,
2D GAN,26.90,31.49,,
2D GAN,11.61,82.34,,
2D GAN,24.77,71.11,,
2D GAN,4.31,98.57,,
2D GAN,43.35,114.15,,
2D GAN,29.48,94.16,,
2D GAN,24.88,89.44,,
2D GAN,23.97,76.37,,
2D GAN,17.08,54.23,,
2D GAN,7.64,91.66,,
2D GAN,43.70,99.18,,
2D GAN,0.81,52.65,,
2D GAN,16.48,41.69,,
2D GAN,11.25,75.34,,
2D GAN,14.56,91.55,,
2D GAN,13.44,107.69,,
2D GAN,17.52,142.66,,
2D GAN,1.26,50.97,,
2D GAN,11.41,52.10,,
2D GAN,4.49,42.38,,
2D GAN,12.52,74.70,,
2D GAN,1.57,76.94,,
2D GAN,48.21,89.93,,
2D GAN,0.87,33.88,,
2D GAN,8.43,89.47,,
2D GAN,30.78,114.33,,
2D GAN,3.73,59.61,,
2D GAN,6.17,58.55,,
2D GAN,4.69,80.85,,
2D GAN,1.04,61.76,,
2D GAN,2.57,58.98,,
2D GAN,3.46,92.60,,
2D GAN,12.30,87.75,,
2D GAN,0.62,33.72,,
2D GAN,25.10,92.54,,
2D GAN,1.91,50.03,,
2D GAN,3.72,50.69,,
2D GAN,11.97,69.51,,
2D GAN,52.23,64.36,,
2D GAN,1.56,104.35,,
2D GAN,22.88,56.15,,
2D GAN,26.77,78.26,,
2D GAN,19.47,79.89,,
2D GAN,0.62,48.27,,
2D GAN,52.04,119.34,,
2D GAN,6.88,52.94,,
2D GAN,5.37,52.43,,
2D GAN,1.37,86.77,,
2D GAN,0.81,47.11,,
2D GAN,59.41,119.82,,
2D GAN,26.41,45.19,,
2D GAN,61.21,110.38,,
2D GAN,1.88,37.11,,
2D GAN,8.71,49.25,,
2D GAN,22.86,56.03,,
2D GAN,13.17,98.87,,
2D GAN,25.53,87.00,,
2D GAN,1.31,85.94,,
2D GAN,61.75,82.01,,
2D GAN,89.11,139.37,,
2D GAN,56.48,87.05,,
2D GAN,37.25,79.75,,
2D GAN,16.48,33.05,,
2D GAN,33.07,85.09,,
2D GAN,54.42,112.73,,
2D GAN,56.11,143.20,,
2D GAN,1.45,88.44,,
2D GAN,2.54,75.92,,
2D GAN,0.64,48.15,,
2D GAN,20.76,80.99,,
2D GAN,1.01,56.85,,
2D GAN,17.54,68.57,,
2D GAN,19.07,132.46,,
2D GAN,2.10,97.61,,
2D GAN,2.22,51.34,,
2D GAN,32.05,94.31,,
2D GAN,1.06,78.52,,
2D GAN,0.44,43.69,,
2D GAN,33.64,81.99,,
2D GAN,1.52,52.59,,
2D GAN,5.60,31.55,,
2D GAN,24.18,92.93,,
2D GAN,34.49,72.97,,
2D GAN,42.79,92.92,,
2D GAN,0.74,45.77,,
2D GAN,31.24,77.19,,
2D GAN,7.26,88.31,,
2D GAN,8.78,55.00,,
2D GAN,24.61,64.35,,
2D GAN,12.80,63.94,,
2D GAN,1.75,34.18,,
2D GAN,16.04,72.29,,
2D GAN,29.61,51.76,,
2D GAN,0.65,45.41,,
2D GAN,10.29,44.35,,
2D GAN,2.83,66.01,,
2D GAN,0.82,74.66,,
2D GAN,36.17,59.86,,
2D GAN,11.05,132.39,,
2D GAN,1.75,52.08,,
2D GAN,10.18,74.37,,
2D GAN,32.52,76.09,,
2D GAN,1.16,62.36,,
2D GAN,0.60,42.84,,
2D GAN,0.72,61.57,,
2D GAN,32.06,75.18,,
2D GAN,1.58,118.99,,
2D GAN,2.45,46.97,,
2D GAN,4.38,38.96,,
2D GAN,8.25,63.45,,
2D GAN,33.47,96.53,,
2D GAN,19.03,69.26,,
2D GAN,1.96,53.05,,
2D GAN,17.39,36.18,,
2D GAN,47.86,133.80,,
2D GAN,28.25,76.41,,
2D GAN,1.01,61.07,,
2D GAN,22.86,122.45,,
2D GAN,0.67,54.03,,
2D GAN,35.89,68.22,,
2D GAN,8.81,67.59,,
2D GAN,20.05,90.46,,
2D GAN,5.54,49.71,,
2D GAN,3.31,78.21,,
2D GAN,8.27,56.50,,
2D GAN,2.46,34.75,,
2D GAN,23.23,62.56,,
2D GAN,38.54,131.64,,
2D GAN,37.60,74.29,,
2D GAN,30.27,87.87,,
2D GAN,31.10,72.27,,
2D GAN,27.17,60.96,,
2D GAN,1.97,46.30,,
2D GAN,57.87,62.97,,
2D GAN,5.47,57.00,,
2D GAN,25.84,80.74,,
2D GAN,19.16,67.29,,
2D GAN,8.25,51.71,,
2D GAN,18.12,84.29,,
2D GAN,12.24,35.86,,
2D GAN,7.64,90.10,,
2D GAN,6.25,93.94,,
2D GAN,23.85,40.29,,
2D GAN,59.44,151.61,,
2D GAN,0.90,53.76,,
2D GAN,4.19,78.19,,
2D GAN,0.42,34.42,,
2D GAN,33.65,134.69,,
2D GAN,13.32,97.49,,
2D GAN,21.82,147.11,,
2D GAN,1.74,69.06,,
2D GAN,25.40,67.94,,
2D GAN,1.01,59.26,,
2D GAN,21.90,95.87,,
2D GAN,25.91,66.18,,
2D GAN,0.61,31.70,,
2D GAN,2.09,84.74,,
2D GAN,48.53,69.78,,
2D GAN,6.71,38.64,,
2D GAN,68.97,114.03,,
2D GAN,2.17,49.83,,
2D GAN,9.36,56.08,,
2D GAN,0.92,63.35,,
2D GAN,1.05,62.39,,
2D GAN,7.76,77.49,,
2D GAN,1.04,60.38,,
2D GAN,3.56,84.38,,
2D GAN,4.82,89.36,,
2D GAN,6.86,44.41,,
2D GAN,17.79,85.60,,
2D GAN,3.25,78.59,,
2D GAN,6.45,68.05,,
2D GAN,32.68,38.19,,
2D GAN,14.17,83.13,,
2D GAN,32.20,68.15,,
2D GAN,1.65,91.26,,
2D GAN,0.59,45.23,,
2D GAN,23.74,113.94,,
2D GAN,15.61,93.64,,
2D GAN,39.57,128.12,,
2D GAN,50.33,94.38,,
2D GAN,3.95,57.81,,
2D GAN,20.34,89.35,,
2D GAN,7.00,79.24,,
2D GAN,28.02,92.53,,
2D GAN,38.38,48.72,,
2D GAN,1.29,83.03,,
2D GAN,34.73,90.57,,
2D GAN,102.17,140.28,,
2D GAN,10.81,65.25,,
2D GAN,34.30,70.38,,
2D GAN,16.29,73.40,,
2D GAN,50.74,74.36,,
2D GAN,31.54,83.55,,
2D GAN,37.53,79.54,,
2D GAN,28.90,99.34,,
2D GAN,61.30,123.91,,
2D GAN,1.03,68.31,,
2D GAN,2.20,147.41,,
2D GAN,0.68,42.24,,
2D GAN,12.11,60.93,,
2D GAN,40.85,51.15,,
2D GAN,12.63,80.13,,
2D GAN,21.09,114.26,,
2D GAN,2.03,81.50,,
2D GAN,11.27,73.40,,
2D GAN,0.89,46.81,,
2D GAN,0.73,61.78,,
2D GAN,6.39,80.20,,
2D GAN,8.58,72.57,,
2D GAN,3.55,62.52,,
2D GAN,31.42,81.55,,
2D GAN,0.67,43.13,,
2D GAN,3.65,46.33,,
2D GAN,4.06,96.78,,
2D GAN,1.66,73.86,,
2D GAN,8.24,29.90,,
2D GAN,21.25,107.77,,
2D GAN,19.19,63.89,,
2D GAN,1.47,53.73,,
2D GAN,2.67,39.74,,
2D GAN,22.03,72.41,,
2D GAN,44.84,126.22,,
2D GAN,5.99,56.47,,
2D GAN,6.44,33.91,,
2D GAN,1.28,86.20,,
2D GAN,1.27,101.76,,
2D GAN,0.60,40.39,,
2D GAN,1.27,92.81,,
2D GAN,9.36,35.91,,
2D GAN,46.40,142.81,,
2D GAN,15.55,42.92,,
2D GAN,9.25,75.57,,
2D GAN,52.60,98.14,,
2D GAN,2.18,67.31,,
2D GAN,7.15,74.81,,
2D GAN,9.18,40.15,,
2D GAN,45.72,68.41,,
2D GAN,0.70,38.95,,
2D GAN,1.00,58.01,,
2D GAN,15.45,30.38,,
2D GAN,4.32,72.77,,
2D GAN,20.83,57.00,,
2D GAN,0.76,83.56,,
2D GAN,26.15,72.87,,
2D GAN,63.51,99.10,,
2D GAN,1.11,73.55,,
2D GAN,8.32,85.49,,
2D GAN,1.07,58.73,,
2D GAN,11.17,65.96,,
2D GAN,54.95,82.29,,
2D GAN,3.24,78.62,,
2D GAN,1.27,102.64,,
2D GAN,7.11,101.07,,
2D GAN,2.37,59.14,,
2D GAN,11.02,100.08,,
2D GAN,1.54,106.73,,
2D GAN,22.92,95.65,,
2D GAN,62.63,96.53,,
2D GAN,7.97,42.59,,
2D GAN,1.06,65.86,,
2D GAN,1.85,42.41,,
2D GAN,2.41,94.56,,
2D GAN,25.29,82.44,,
2D GAN,1.57,66.97,,
2D GAN,6.98,76.47,,
2D GAN,9.25,48.96,,
2D GAN,51.12,73.79,,
2D GAN,25.31,74.37,,
2D GAN,31.18,54.04,,
2D GAN,57.18,106.24,,
2D GAN,31.84,85.68,,
2D GAN,8.50,47.35,,
2D GAN,69.74,87.76,,
2D GAN,6.65,53.10,,
2D GAN,18.17,63.62,,
2D GAN,63.86,102.86,,
2D GAN,1.88,63.05,,
2D GAN,27.28,97.48,,
2D GAN,2.69,60.17,,
2D GAN,2.90,53.33,,
2D GAN,6.49,46.05,,
2D GAN,1.23,53.98,,
2D GAN,10.19,62.93,,
2D GAN,0.93,69.55,,
2D GAN,46.97,76.26,,
2D GAN,19.96,78.02,,
2D GAN,1.54,109.18,,
2D GAN,12.89,71.79,,
2D GAN,20.98,31.34,,
2D GAN,8.95,33.42,,
2D GAN,23.74,51.84,,
2D GAN,2.22,71.26,,
2D GAN,0.78,63.40,,
2D GAN,16.36,101.69,,
2D GAN,4.17,61.77,,
2D GAN,28.61,78.44,,
2D GAN,8.29,110.97,,
2D GAN,0.74,68.80,,
2D GAN,0.80,82.82,,
2D GAN,23.62,75.84,,
2D GAN,15.02,66.62,,
2D GAN,43.57,95.68,,
2D GAN,31.82,145.93,,
2D GAN,2.57,65.18,,
2D GAN,5.05,93.97,,
2D GAN,0.71,50.18,,
2D GAN,22.27,57.62,,
2D GAN,35.78,105.95,,
2D GAN,13.92,76.90,,
2D GAN,2.07,55.49,,
2D GAN,27.77,49.81,,
2D GAN,25.89,78.30,,
2D GAN,27.36,73.73,,
2D GAN,23.87,51.58,,
2D GAN,49.26,82.84,,
2D GAN,14.10,65.01,,
2D GAN,24.42,62.62,,
2D GAN,0.96,46.71,,
2D GAN,22.55,97.73,,
2D GAN,29.40,67.59,,
2D GAN,0.62,41.06,,
2D GAN,37.24,73.14,,
2D GAN,9.39,27.94,,
2D GAN,0.97,73.47,,
2D GAN,0.98,75.76,,
2D GAN,29.95,60.75,,
2D GAN,15.72,49.46,,
2D GAN,6.67,59.78,,
2D GAN,0.67,57.48,,
2D GAN,34.79,82.60,,
2D GAN,12.94,77.78,,
2D GAN,4.96,85.71,,
2D GAN,6.61,41.52,,
2D GAN,27.53,38.15,,
2D GAN,31.30,81.50,,
2D GAN,3.52,72.51,,
2D GAN,53.50,86.36,,
2D GAN,4.91,64.99,,
2D GAN,5.81,92.62,,
2D GAN,1.74,61.61,,
2D GAN,4.02,91.30,,
2D GAN,56.51,105.55,,
2D GAN,0.83,47.79,,
2D GAN,1.17,85.14,,
2D GAN,18.74,42.33,,
2D GAN,47.07,68.14,,
2D GAN,12.60,83.70,,
2D GAN,1.45,88.44,,
2D GAN,7.26,47.91,,
2D GAN,32.93,96.15,,
2D GAN,5.83,81.74,,
2D GAN,3.50,67.12,,
2D GAN,37.43,103.69,,
2D GAN,30.20,97.22,,
2D GAN,3.29,56.45,,
2D GAN,15.80,81.53,,
2D GAN,42.70,102.13,,
2D GAN,32.69,75.15,,
2D GAN,18.90,104.93,,
2D GAN,2.09,65.04,,
2D GAN,0.88,36.96,,
2D GAN,1.61,60.83,,
2D GAN,0.56,52.73,,
2D GAN,2.94,62.30,,
2D GAN,3.28,60.16,,
2D GAN,55.73,68.62,,
2D GAN,48.86,106.90,,
2D GAN,12.66,68.28,,
2D GAN,2.09,65.12,,
2D GAN,38.42,63.15,,
2D GAN,11.29,76.49,,
2D GAN,26.32,45.22,,
2D GAN,5.04,74.21,,
2D GAN,1.00,56.93,,
2D GAN,0.95,58.70,,
2D GAN,22.05,83.24,,
2D GAN,50.27,134.85,,
2D GAN,4.26,86.85,,
2D GAN,5.63,43.73,,
2D GAN,0.98,53.59,,
2D GAN,32.05,118.51,,
2D GAN,26.38,97.37,,
2D GAN,10.08,54.04,,
2D GAN,22.23,42.34,,
2D GAN,21.18,117.41,,
2D GAN,38.30,91.28,,
2D GAN,19.83,55.22,,
2D GAN,0.82,48.47,,
2D GAN,4.02,76.01,,
2D GAN,0.98,59.67,,
2D GAN,35.62,109.51,,
2D GAN,4.05,63.42,,
2D GAN,35.71,107.00,,
2D GAN,14.15,61.35,,
2D GAN,75.92,94.20,,
2D GAN,16.39,40.28,,
2D GAN,1.46,42.59,,
2D GAN,0.82,77.30,,
2D GAN,4.09,87.87,,
2D GAN,11.70,73.87,,
2D GAN,22.08,59.50,,
2D GAN,36.94,88.74,,
2D GAN,3.86,82.32,,
2D GAN,1.16,19.62,,
2D GAN,6.89,61.80,,
2D GAN,5.58,48.70,,
2D GAN,3.69,63.36,,
2D GAN,17.48,88.69,,
2D GAN,7.34,94.08,,
2D GAN,0.99,69.96,,
2D GAN,5.47,63.89,,
2D GAN,10.45,73.38,,
2D GAN,16.52,67.24,,
2D GAN,0.81,47.42,,
2D GAN,7.54,35.56,,
2D GAN,34.32,78.01,,
2D GAN,3.42,95.74,,
2D GAN,29.26,109.14,,
2D GAN,1.24,90.52,,
2D GAN,37.92,47.77,,
2D GAN,1.39,66.99,,
2D GAN,40.60,60.80,,
2D GAN,31.83,73.10,,
2D GAN,4.14,56.00,,
2D GAN,1.32,80.38,,
2D GAN,9.43,77.24,,
2D GAN,21.54,88.65,,
2D GAN,19.33,60.72,,
2D GAN,18.44,75.49,,
2D GAN,7.21,69.44,,
2D GAN,3.63,53.13,,
2D GAN,8.31,63.55,,
2D GAN,7.51,62.38,,
2D GAN,14.46,54.82,,
2D GAN,2.06,36.57,,
2D GAN,68.49,77.48,,
2D GAN,7.52,107.35,,
2D GAN,45.15,93.55,,
2D GAN,5.00,57.00,,
2D GAN,16.57,35.71,,
2D GAN,44.76,168.93,,
2D GAN,7.84,60.45,,
2D GAN,5.03,83.37,,
2D GAN,35.83,33.18,,
2D GAN,1.98,54.63,,
2D GAN,0.88,52.74,,
2D GAN,7.52,70.40,,
2D GAN,0.78,66.75,,
2D GAN,1.66,52.77,,
2D GAN,22.01,58.64,,
2D GAN,0.64,53.86,,
2D GAN,0.53,42.65,,
2D GAN,1.23,86.67,,
2D GAN,14.01,119.55,,
2D GAN,25.40,62.79,,
2D GAN,0.64,40.92,,
2D GAN,0.95,57.37,,
2D GAN,10.09,80.68,,
2D GAN,1.00,42.08,,
2D GAN,40.71,85.35,,
2D GAN,39.04,72.19,,
2D GAN,12.42,134.60,,
2D GAN,0.59,39.76,,
2D GAN,31.21,69.70,,
2D GAN,0.88,66.23,,
2D GAN,3.45,74.70,,
2D GAN,52.16,64.33,,
2D GAN,18.28,72.26,,
2D GAN,22.79,50.78,,
2D GAN,24.91,42.18,,
2D GAN,2.64,39.15,,
2D GAN,17.68,116.74,,
2D GAN,28.64,99.78,,
2D GAN,3.60,95.61,,
2D GAN,1.33,86.81,,
2D GAN,1.57,58.62,,
2D GAN,1.55,45.80,,
2D GAN,19.79,61.63,,
2D GAN,25.97,92.27,,
2D GAN,20.09,167.13,,
2D GAN,9.91,81.75,,
2D GAN,13.11,94.68,,
2D GAN,3.01,99.28,,
2D GAN,1.20,58.11,,
2D GAN,12.89,83.50,,
2D GAN,1.52,64.56,,
2D GAN,6.24,78.98,,
2D GAN,1.17,71.05,,
2D GAN,4.12,61.61,,
2D GAN,16.48,42.40,,
2D GAN,19.55,86.65,,
2D GAN,0.75,58.00,,
2D GAN,67.70,95.43,,
2D GAN,7.25,61.14,,
2D GAN,0.49,39.81,,
2D GAN,3.30,69.30,,
2D GAN,19.18,91.43,,
2D GAN,23.13,52.85,,
2D GAN,31.76,106.08,,
2D GAN,5.59,87.04,,
2D GAN,27.15,66.34,,
2D GAN,48.29,87.76,,
2D GAN,26.15,64.22,,
2D GAN,51.67,126.45,,
2D GAN,0.52,53.82,,
2D GAN,31.29,92.29,,
2D GAN,29.30,64.17,,
2D GAN,43.87,50.23,,
2D GAN,1.58,67.81,,
2D GAN,11.82,107.44,,
2D GAN,1.34,77.95,,
2D GAN,37.29,86.85,,
2D GAN,33.33,76.89,,
2D GAN,6.11,127.28,,
2D GAN,4.46,76.67,,
2D GAN,46.24,64.17,,
2D GAN,3.38,65.39,,
2D GAN,50.42,101.68,,
2D GAN,2.23,64.42,,
2D GAN,0.84,58.99,,
2D GAN,13.05,82.80,,
2D GAN,8.44,56.75,,
2D GAN,29.04,75.21,,
2D GAN,1.05,52.08,,
2D GAN,1.10,45.94,,
2D GAN,8.65,101.03,,
2D GAN,14.41,99.65,,
2D GAN,62.77,94.67,,
2D GAN,8.40,74.92,,
2D GAN,12.02,97.70,,
2D GAN,27.08,72.96,,
2D GAN,41.60,65.91,,
2D GAN,68.06,119.93,,
2D GAN,41.01,79.54,,
2D GAN,1.20,62.53,,
2D GAN,14.50,86.02,,
2D GAN,12.43,43.32,,
2D GAN,6.91,94.27,,
2D GAN,0.57,43.14,,
2D GAN,31.92,62.05,,
2D GAN,17.65,97.38,,
2D GAN,21.31,62.68,,
2D GAN,1.12,41.84,,
2D GAN,26.58,63.30,,
2D GAN,0.89,75.19,,
2D GAN,6.02,108.14,,
2D GAN,33.46,45.18,,
2D GAN,1.01,60.98,,
2D GAN,20.28,76.50,,
2D GAN,8.58,67.53,,
2D GAN,24.24,56.26,,
2D GAN,64.77,81.41,,
2D GAN,0.74,40.20,,
2D GAN,1.43,76.26,,
2D GAN,2.45,80.18,,
2D GAN,6.97,66.73,,
2D GAN,4.83,56.80,,
2D GAN,1.18,71.66,,
2D GAN,40.98,99.41,,
2D GAN,65.31,83.70,,
2D GAN,1.89,41.68,,
2D GAN,13.27,65.04,,
2D GAN,1.07,83.85,,
2D GAN,1.66,67.60,,
2D GAN,1.15,88.68,,
2D GAN,7.89,41.99,,
2D GAN,1.14,88.92,,
2D GAN,51.55,89.76,,
2D GAN,75.48,111.92,,
2D GAN,4.11,40.83,,
2D GAN,7.09,94.84,,
2D GAN,0.47,31.03,,
2D GAN,21.54,91.81,,
2D GAN,8.39,83.80,,
2D GAN,1.43,89.27,,
2D GAN,36.21,69.55,,
2D GAN,16.22,66.06,,
2D GAN,10.68,65.05,,
2D GAN,27.20,52.32,,
2D GAN,1.03,70.58,,
2D GAN,7.70,57.21,,
2D GAN,39.86,66.84,,
2D GAN,39.03,75.50,,
2D GAN,1.00,67.09,,
2D GAN,7.39,71.46,,
2D GAN,8.78,117.68,,
2D GAN,2.11,78.92,,
2D GAN,0.44,32.55,,
2D GAN,14.81,55.26,,
2D GAN,0.61,37.16,,
2D GAN,49.01,86.73,,
2D GAN,1.08,84.52,,
2D GAN,8.07,58.67,,
2D GAN,2.26,79.82,,
2D GAN,27.47,51.95,,
2D GAN,2.76,72.49,,
2D GAN,8.37,41.18,,
2D GAN,11.78,40.36,,
2D GAN,16.24,32.13,,
2D GAN,10.96,78.87,,
2D GAN,28.75,132.36,,
2D GAN,20.17,70.40,,
2D GAN,37.26,105.39,,
2D GAN,3.16,30.23,,
2D GAN,8.59,85.72,,
2D GAN,7.78,45.90,,
2D GAN,42.04,124.09,,
2D GAN,20.87,93.34,,
2D GAN,48.03,65.56,,
2D GAN,4.11,43.19,,
2D GAN,7.04,61.52,,
2D GAN,34.36,71.77,,
2D GAN,1.60,86.19,,
2D GAN,13.00,54.97,,
2D GAN,17.58,87.78,,
2D GAN,2.18,49.79,,
2D GAN,28.40,51.32,,
2D GAN,3.80,101.73,,
2D GAN,1.29,74.09,,
2D GAN,59.52,88.25,,
2D GAN,6.42,50.38,,
2D GAN,25.25,77.72,,
2D GAN,7.28,94.93,,
2D GAN,14.30,136.32,,
2D GAN,4.66,39.17,,
2D GAN,1.61,33.78,,
2D GAN,2.46,66.03,,
2D GAN,15.80,86.81,,
2D GAN,23.37,68.47,,
2D GAN,1.01,108.27,,
2D GAN,1.31,82.79,,
2D GAN,55.43,101.47,,
2D GAN,35.45,136.83,,
2D GAN,27.84,63.42,,
2D GAN,1.68,67.08,,
2D GAN,44.14,55.58,,
2D GAN,1.07,65.01,,
2D GAN,3.37,54.25,,
2D GAN,1.46,113.84,,
2D GAN,7.25,62.84,,
2D GAN,41.87,53.93,,
2D GAN,3.57,29.24,,
